city,local,parameter,value,latitude,longitude
city,local,parameter,value,latitude,longitude
Delhi,"2015-06-29T14:40:00+05:30",so2,1.2,28.6683,77.1167
Delhi,"2015-06-29T14:40:00+05:30",no2,45.8,28.6683,77.1167
Delhi,"2015-06-29T14:40:00+05:30",o3,76,28.6683,77.1167
Delhi,"2015-06-29T14:40:00+05:30",co,1100,28.6683,77.1167
Delhi,"2015-06-29T15:00:00+05:30",pm25,45,28.6683,77.1167
Delhi,"2015-06-29T15:00:00+05:30",so2,4.5,28.6683,77.1167
Delhi,"2015-06-29T15:00:00+05:30",o3,77.2,28.6683,77.1167
Delhi,"2015-06-29T15:00:00+05:30",no2,52.7,28.6683,77.1167
Delhi,"2015-06-29T15:00:00+05:30",co,1200,28.6683,77.1167
Delhi,"2015-06-29T15:40:00+05:30",pm10,102,28.6683,77.1167
Delhi,"2015-06-29T15:40:00+05:30",so2,4.9,28.6683,77.1167
Delhi,"2015-06-29T15:40:00+05:30",co,1300,28.6683,77.1167
Delhi,"2015-06-29T15:40:00+05:30",no2,76.3,28.6683,77.1167
Delhi,"2015-06-29T15:40:00+05:30",pm25,45,28.6683,77.1167
Delhi,"2015-06-29T15:40:00+05:30",o3,77.1,28.6683,77.1167
Delhi,"2015-06-29T16:00:00+05:30",no2,66.2,28.6683,77.1167
Delhi,"2015-06-29T16:00:00+05:30",o3,61.6,28.6683,77.1167
Delhi,"2015-06-29T16:00:00+05:30",pm25,33,28.6683,77.1167
Delhi,"2015-06-29T16:00:00+05:30",pm10,91,28.6683,77.1167
Delhi,"2015-06-29T16:00:00+05:30",so2,7.1,28.6683,77.1167
Delhi,"2015-06-29T16:40:00+05:30",so2,2.3,28.6683,77.1167
Delhi,"2015-06-29T16:40:00+05:30",o3,16.8,28.6683,77.1167
Delhi,"2015-06-29T16:40:00+05:30",co,1100,28.6683,77.1167
Delhi,"2015-06-29T16:40:00+05:30",pm25,33,28.6683,77.1167
Delhi,"2015-06-29T16:40:00+05:30",no2,56.7,28.6683,77.1167
Delhi,"2015-06-29T16:40:00+05:30",pm10,91,28.6683,77.1167
Delhi,"2015-06-29T17:00:00+05:30",pm10,92,28.6683,77.1167
Delhi,"2015-06-29T17:00:00+05:30",so2,3,28.6683,77.1167
Delhi,"2015-06-29T17:00:00+05:30",o3,36.5,28.6683,77.1167
Delhi,"2015-06-29T17:00:00+05:30",no2,58,28.6683,77.1167
Delhi,"2015-06-29T17:00:00+05:30",co,1200,28.6683,77.1167
Delhi,"2015-06-29T17:00:00+05:30",pm25,29,28.6683,77.1167
Delhi,"2015-06-29T17:40:00+05:30",no2,33.5,28.6683,77.1167
Delhi,"2015-06-29T17:40:00+05:30",co,900,28.6683,77.1167
Delhi,"2015-06-29T17:40:00+05:30",pm25,29,28.6683,77.1167
Delhi,"2015-06-29T17:40:00+05:30",o3,49.1,28.6683,77.1167
Delhi,"2015-06-29T17:40:00+05:30",pm10,92,28.6683,77.1167
Delhi,"2015-06-29T18:40:00+05:30",so2,4.5,28.6683,77.1167
Delhi,"2015-06-29T18:40:00+05:30",pm25,22,28.6683,77.1167
Delhi,"2015-06-29T18:40:00+05:30",no2,71.8,28.6683,77.1167
Delhi,"2015-06-29T18:40:00+05:30",pm10,59,28.6683,77.1167
Delhi,"2015-06-29T18:40:00+05:30",o3,44,28.6683,77.1167
Delhi,"2015-06-29T18:40:00+05:30",co,1000,28.6683,77.1167
Delhi,"2015-06-29T19:00:00+05:30",so2,4.1,28.6683,77.1167
Delhi,"2015-06-29T19:00:00+05:30",co,900,28.6683,77.1167
Delhi,"2015-06-29T19:00:00+05:30",pm10,152,28.6683,77.1167
Delhi,"2015-06-29T19:00:00+05:30",no2,62.9,28.6683,77.1167
Delhi,"2015-06-29T19:00:00+05:30",pm25,90,28.6683,77.1167
Delhi,"2015-06-29T19:00:00+05:30",o3,43.6,28.6683,77.1167
Delhi,"2015-06-29T19:40:00+05:30",pm25,90,28.6683,77.1167
Delhi,"2015-06-29T19:40:00+05:30",so2,6,28.6683,77.1167
Delhi,"2015-06-29T19:40:00+05:30",pm10,152,28.6683,77.1167
Delhi,"2015-06-29T19:40:00+05:30",co,1200,28.6683,77.1167
Delhi,"2015-06-29T19:40:00+05:30",no2,56.6,28.6683,77.1167
Delhi,"2015-06-29T19:40:00+05:30",o3,37.5,28.6683,77.1167
Delhi,"2015-06-29T20:00:00+05:30",co,700,28.6508,77.3152
Delhi,"2015-06-29T20:00:00+05:30",o3,24.2,28.5648,77.1744
Delhi,"2015-06-29T20:00:00+05:30",pm10,5,28.6341,77.2005
Delhi,"2015-06-29T20:00:00+05:30",so2,4.9,28.5648,77.1744
Delhi,"2015-06-29T20:00:00+05:30",o3,20.1,28.6341,77.2005
Delhi,"2015-06-29T20:00:00+05:30",no2,36.1,28.5648,77.1744
Delhi,"2015-06-29T20:00:00+05:30",o3,28.7,28.6683,77.1167
Delhi,"2015-06-29T20:00:00+05:30",pm25,25,28.5648,77.1744
Delhi,"2015-06-29T20:00:00+05:30",pm25,23,28.6341,77.2005
Delhi,"2015-06-29T20:00:00+05:30",no2,47.7,28.6341,77.2005
Delhi,"2015-06-29T20:00:00+05:30",no2,54.7,28.6683,77.1167
Delhi,"2015-06-29T20:00:00+05:30",no2,51.2,28.6508,77.3152
Delhi,"2015-06-29T20:00:00+05:30",pm25,30,28.6508,77.3152
Delhi,"2015-06-29T20:00:00+05:30",so2,6.7,28.6683,77.1167
Delhi,"2015-06-29T20:00:00+05:30",pm10,46,28.6508,77.3152
Delhi,"2015-06-29T20:00:00+05:30",pm25,38,28.6683,77.1167
Delhi,"2015-06-29T20:00:00+05:30",pm10,74,28.5648,77.1744
Delhi,"2015-06-29T20:00:00+05:30",so2,12.1,28.6508,77.3152
Delhi,"2015-06-29T20:00:00+05:30",co,700,28.6341,77.2005
Delhi,"2015-06-29T20:00:00+05:30",co,1500,28.5648,77.1744
Delhi,"2015-06-29T20:00:00+05:30",pm10,84,28.6683,77.1167
