city,local,parameter,value,latitude,longitude
city,local,parameter,value,latitude,longitude
Delhi,"2015-07-02T07:10:00+05:30",no2,68.2,28.6508,77.3152
Delhi,"2015-07-02T07:10:00+05:30",co,1200,28.6508,77.3152
Delhi,"2015-07-02T07:10:00+05:30",o3,2.4,28.6508,77.3152
Delhi,"2015-07-02T07:40:00+05:30",so2,12.5,28.6508,77.3152
Delhi,"2015-07-02T07:40:00+05:30",no2,64.4,28.5648,77.1744
Delhi,"2015-07-02T07:40:00+05:30",co,1500,28.6508,77.3152
Delhi,"2015-07-02T07:40:00+05:30",pm10,107,28.5648,77.1744
Delhi,"2015-07-02T07:40:00+05:30",pm10,72,28.6683,77.1167
Delhi,"2015-07-02T07:40:00+05:30",pm25,30,28.6341,77.2005
Delhi,"2015-07-02T07:40:00+05:30",so2,6.6,28.5648,77.1744
Delhi,"2015-07-02T07:40:00+05:30",pm25,50,28.6683,77.1167
Delhi,"2015-07-02T07:40:00+05:30",pm25,51,28.5648,77.1744
Delhi,"2015-07-02T07:40:00+05:30",co,600,28.6341,77.2005
Delhi,"2015-07-02T07:40:00+05:30",o3,22.5,28.6683,77.1167
Delhi,"2015-07-02T07:40:00+05:30",o3,4.5,28.6341,77.2005
Delhi,"2015-07-02T07:40:00+05:30",o3,11.5,28.5648,77.1744
Delhi,"2015-07-02T07:40:00+05:30",o3,36.1,28.6508,77.3152
Delhi,"2015-07-02T07:40:00+05:30",co,1700,28.5648,77.1744
Delhi,"2015-07-02T07:40:00+05:30",no2,68.8,28.6508,77.3152
Delhi,"2015-07-02T07:40:00+05:30",pm10,360,28.6508,77.3152
Delhi,"2015-07-02T07:40:00+05:30",no2,22.9,28.6683,77.1167
Delhi,"2015-07-02T07:40:00+05:30",no2,32.7,28.6341,77.2005
Delhi,"2015-07-02T07:40:00+05:30",so2,1.7,28.6683,77.1167
Delhi,"2015-07-02T07:40:00+05:30",pm25,94,28.6508,77.3152
Delhi,"2015-07-02T07:40:00+05:30",co,1200,28.6683,77.1167
Delhi,"2015-07-02T08:00:00+05:30",o3,13.2,28.5648,77.1744
Delhi,"2015-07-02T08:00:00+05:30",no2,27.5,28.6683,77.1167
Delhi,"2015-07-02T08:00:00+05:30",pm10,139,28.5648,77.1744
